pattern;color;material;;brand;image_1;image_2;image_3;image_4;image_5;image_6;image_7;image_8;image_9;image_10;image_11;image_12;image_13;image_14;image_15;image_16;image_17;image_18;image_19;image_20;;;;
04cp1yelpp;0001;04cp1yelpp-0001;04CP1YELPP-0001;element;04cp1yelpp_element,pg_0001_frt1.jpg;;;;;;;;;;;;;;;;;;;;;;;
04cpg2elpp;0001;04cpg2elpp-0001;04CPG2ELPP-0001;element;04cpg2elpp_element,pg_0001_frt1.jpg;04cpg2elpp_element,p_0001_frt1.jpg;04cpg2elpp_element,p_0001_frt2.jpg;04cpg2elpp_element,p_0001_frt3.jpg;04cpg2elpp_element,p_0001_frt4.jpg;;;;;;;;;;;;;;;;;;;
04whe3elpp;0040;04whe3elpp-0040;04WHE3ELPP-0040;element;04whe3elpp_element,pg_0040_frt1.jpg;;;;;;;;;;;;;;;;;;;;;;;
c4dcf3elpp;0001;c4dcf3elpp-0001;C4DCF3ELPP-0001;element;c4dcf3elpp_element,p_0001_frt1.jpg;;;;;;;;;;;;;;;;;;;;;;;
c4dcf4elpp;0001;c4dcf4elpp-0001;C4DCF4ELPP-0001;element;c4dcf4elpp_element,p_0001_frt1.jpg;;;;;;;;;;;;;;;;;;;;;;;
c4dcf5elpp;0001;c4dcf5elpp-0001;C4DCF5ELPP-0001;element;c4dcf5elpp_element,p_0001_frt1.jpg;;;;;;;;;;;;;;;;;;;;;;;
c4dcf6elpp;0001;c4dcf6elpp-0001;C4DCF6ELPP-0001;element;c4dcf6elpp_element,p_0001_frt1.jpg;;;;;;;;;;;;;;;;;;;;;;;
c4wha6elp2;0040;c4wha6elp2-0040;C4WHA6ELP2-0040;element;c4wha6elp2_element,p_0040_frt1.jpg;c4wha6elp2_element,p_0040_frt2.jpg;;;;;;;;;;;;;;;;;;;;;;
elbdp00105;bnt0;elbdp00105-bnt0;ELBDP00105-BNT0;element;elbdp00105_element,f_bnt0_frt1.jpg;elbdp00105_element,f_bnt0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbdp00105;waa;elbdp00105-waa;ELBDP00105-WAA;element;elbdp00105_element,f_waa_frt1.jpg;elbdp00105_element,f_waa_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbdp00107;bnt0;elbdp00107-bnt0;ELBDP00107-BNT0;element;elbdp00107_element,f_bnt0_frt1.jpg;elbdp00107_element,f_bnt0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbft00130;btg0;elbft00130-btg0;ELBFT00130-BTG0;element;elbft00130_element,f_btg0_frt1.jpg;elbft00130_element,f_btg0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbft00130;tkh0;elbft00130-tkh0;ELBFT00130-TKH0;element;elbft00130_element,f_tkh0_frt1.jpg;elbft00130_element,f_tkh0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbft00131;krb0;elbft00131-krb0;ELBFT00131-KRB0;element;elbft00131_element,f_krb0_frt1.jpg;elbft00131_element,f_krb0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbft00131;kta0;elbft00131-kta0;ELBFT00131-KTA0;element;elbft00131_element,w_kta0_frt1.jpg;elbft00131_element,w_kta0_bck1.jpg;elbft00131_element,f_kta0_frt1.jpg;elbft00131_element,f_kta0_bck1.jpg;;;;;;;;;;;;;;;;;;;;
elbft00141;csn0;elbft00141-csn0;ELBFT00141-CSN0;element;elbft00141_element,f_csn0_frt1.jpg;elbft00141_element,f_csn0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbft00141;ecn;elbft00141-ecn;ELBFT00141-ECN;element;elbft00141_element,f_ecn_frt1.jpg;elbft00141_element,f_ecn_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbft00144;rss0;elbft00144-rss0;ELBFT00144-RSS0;element;elbft00144_element,f_rss0_frt1.jpg;elbft00144_element,f_rss0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbft00144;sgbh;elbft00144-sgbh;ELBFT00144-SGBH;element;elbft00144_element,f_sgbh_frt1.jpg;elbft00144_element,f_sgbh_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbft00145;btg0;elbft00145-btg0;ELBFT00145-BTG0;element;elbft00145_element,f_btg0_frt1.jpg;elbft00145_element,f_btg0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbft00145;sgbh;elbft00145-sgbh;ELBFT00145-SGBH;element;elbft00145_element,f_sgbh_frt1.jpg;elbft00145_element,f_sgbh_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbft00146;gsl0;elbft00146-gsl0;ELBFT00146-GSL0;element;elbft00146_element,f_gsl0_frt1.jpg;elbft00146_element,f_gsl0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbft00147;btg0;elbft00147-btg0;ELBFT00147-BTG0;element;elbft00147_element,f_btg0_frt1.jpg;elbft00147_element,f_btg0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbft00148;fbk;elbft00148-fbk;ELBFT00148-FBK;element;elbft00148_element,f_fbk_frt1.jpg;elbft00148_element,f_fbk_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbft00148;krn0;elbft00148-krn0;ELBFT00148-KRN0;element;elbft00148_element,f_krn0_frt1.jpg;elbft00148_element,f_krn0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbft00149;gzh0;elbft00149-gzh0;ELBFT00149-GZH0;element;elbft00149_element,f_gzh0_frt1.jpg;elbft00149_element,f_gzh0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
